county,state,fips,zone,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
Hickman,KY,021105,Central Time (US & Canada),36.6781,-88.9761,36.5798429,-89.150059,36.542021,-89.2160919
Hopkins,KY,021107,Central Time (US & Canada),37.3088,-87.5409,37.570177,-87.2953689,37.105602,-87.851806
Jackson,KY,021109,Eastern Time (US & Canada),37.4198,-84.0058,37.576006,-83.340389,37.5241029,-83.421454
Jefferson,KY,021111,Eastern Time (US & Canada),38.1872,-85.6595,38.38051,-85.40509999999999,37.9971,-85.948441
Jessamine,KY,021113,Eastern Time (US & Canada),37.872,-84.5809,38.0037869,-84.434336,37.728536,-84.724575
Johnson,KY,021115,Eastern Time (US & Canada),37.8467,-82.8314,38.0003419,-82.612578,37.703367,-83.004728
Kenton,KY,021117,Eastern Time (US & Canada),38.9333,-84.5331,39.099964,-84.417575,38.790093,-84.62349600000002
Knott,KY,021119,Eastern Time (US & Canada),37.354,-82.954,37.526173,-82.71054190000001,37.1724699,-83.134832
Knox,KY,021121,Eastern Time (US & Canada),36.8907,-83.8539,37.0551169,-83.5660099,36.6872259,-84.094655
Larue,KY,021123,Eastern Time (US & Canada),37.5457,-85.698,37.7322039,-85.465897,37.422,-85.894779
Laurel,KY,021125,Eastern Time (US & Canada),37.1107,-84.1178,37.335895,-83.862461,36.9405034,-84.3676455
Lawrence,KY,021127,Eastern Time (US & Canada),38.0679,-82.7347,38.2690119,-82.464067,37.879242,-83.0252579
Lee,KY,021129,Eastern Time (US & Canada),37.5947,-83.7163,37.72018,-83.52230290000001,37.486804,-83.9055949
Leslie,KY,021131,Eastern Time (US & Canada),37.0941,-83.3811,37.320673,-83.164233,36.8832869,-83.55300100000001
Letcher,KY,021133,Eastern Time (US & Canada),37.1212,-82.8553,,,,
Lewis,KY,021135,Eastern Time (US & Canada),38.5317,-83.3781,38.725591,-83.0240549,38.31821,-83.6463639
Lincoln,KY,021137,Eastern Time (US & Canada),37.4552,-84.6607,37.640257,-84.4466209,37.238163,-84.86013
Livingston,KY,021139,Central Time (US & Canada),37.2097,-88.3536,37.302043,-84.2103269,37.293917,-84.220947
Logan,KY,021141,Central Time (US & Canada),36.8597,-86.8788,37.073716,-86.61151300000002,36.643181,-87.060757
Lyon,KY,021143,Central Time (US & Canada),37.0191,-88.0832,37.179611,-87.876908,36.8679219,-88.23219
McCracken,KY,021145,Central Time (US & Canada),37.0539,-88.7127,37.228767,-88.482733,36.942336,-88.942061
McCreary,KY,021147,Eastern Time (US & Canada),36.7371,-84.4841,36.9620586,-84.226798,36.591881,-84.7780399
McLean,KY,021149,Central Time (US & Canada),37.5291,-87.2636,37.6835929,-87.0381489,37.3804159,-87.499718
Madison,KY,021151,Eastern Time (US & Canada),37.7202,-84.278,37.9175339,-84.073756,37.515426,-84.525595
Magoffin,KY,021153,Eastern Time (US & Canada),37.7066,-83.0648,37.894666,-82.878466,37.4866059,-83.270718
Marion,KY,021155,Eastern Time (US & Canada),37.5525,-85.2696,37.349222,-88.0590309,37.310958,-88.0991069
Marshall,KY,021157,Central Time (US & Canada),36.8834,-88.3293,37.06425,-88.1147281,36.7472491,-88.48587490000001
Martin,KY,021159,Eastern Time (US & Canada),37.8016,-82.5132,37.5805549,-82.74716900000001,37.547658,-82.7748649
Mason,KY,021161,Eastern Time (US & Canada),38.5952,-83.824,38.768006,-83.6245689,38.45642,-83.9915539
Meade,KY,021163,Eastern Time (US & Canada),37.9695,-86.2169,38.198665,-85.976063,37.798929,-86.4908509
Menifee,KY,021165,Eastern Time (US & Canada),37.9414,-83.5989,38.05894,-83.4339931,37.81827,-83.777194
Mercer,KY,021167,Eastern Time (US & Canada),37.8111,-84.8744,37.969628,-84.688521,37.678801,-85.031454
Metcalfe,KY,021169,Central Time (US & Canada),36.9905,-85.6291,37.18212,-85.44169590000001,36.818086,-85.776697
Monroe,KY,021171,Central Time (US & Canada),36.7122,-85.7164,36.842118,-85.436661,36.6148589,-85.977413
Montgomery,KY,021173,Eastern Time (US & Canada),38.0336,-83.9132,38.1922799,-83.756046,37.900287,-84.080804
Morgan,KY,021175,Eastern Time (US & Canada),37.9223,-83.2589,,,,
Muhlenberg,KY,021177,Central Time (US & Canada),37.2157,-87.1421,37.415987,-86.8812519,37.0403899,-87.388691
Nelson,KY,021179,Eastern Time (US & Canada),37.8051,-85.4662,37.9924399,-85.1504839,37.522945,-85.7426179
Nicholas,KY,021181,Eastern Time (US & Canada),38.3356,-84.0153,38.460594,-83.833528,38.1922799,-84.194211
Ohio,KY,021183,Central Time (US & Canada),37.4783,-86.849,37.7377849,-86.576376,37.212274,-87.1376849
Oldham,KY,021185,Eastern Time (US & Canada),38.3995,-85.4485,38.523931,-85.283047,38.2852959,-85.638404
Owen,KY,021187,Eastern Time (US & Canada),38.5197,-84.828,38.724688,-84.58045,38.338505,-85.076295
Owsley,KY,021189,Eastern Time (US & Canada),37.4193,-83.6832,37.541508,-83.521411,37.255942,-83.88835390000001
Pendleton,KY,021191,Eastern Time (US & Canada),38.6957,-84.3602,,,,
Perry,KY,021193,Eastern Time (US & Canada),37.2443,-83.2215,37.4435829,-83.000027,36.9920909,-83.5539529
Pike,KY,021195,Eastern Time (US & Canada),37.469,-82.3958,37.7450339,-81.9649709,37.196118,-82.732703
Powell,KY,021197,Eastern Time (US & Canada),37.8312,-83.8239,37.933929,-83.63112,37.7161599,-84.027434
